0	eng	Eywa	ɛj.wa	\N	prop.n.	Who's Eywa? Only their deity! Their goddess, made up of all living things. Everything they know! You'd know this if you had any training whatsoever.
80	ru	'ìheyu	ʔɪ.ˈhɛ.ju	\N	n.	спираль
80	sv	'ìheyu	ʔɪ.ˈhɛ.ju	\N	n.	sprial
84	de	'Ìnglìsì	ˈʔɪŋ.lɪ.sɪ	\N	n.	Englisch (Sprache)
84	eng	'Ìnglìsì	ˈʔɪŋ.lɪ.sɪ	\N	n.	English language
84	est	'Ìnglìsì	ˈʔɪŋ.lɪ.sɪ	\N	n.	inglise keel
84	hu	'Ìnglìsì	ˈʔɪŋ.lɪ.sɪ	\N	n.	angol nyelv
84	nl	'Ìnglìsì	ˈʔɪŋ.lɪ.sɪ	\N	n.	Engels (taal)
84	pl	'Ìnglìsì	ˈʔɪŋ.lɪ.sɪ	\N	n.	język angielski
84	ru	'Ìnglìsì	ˈʔɪŋ.lɪ.sɪ	\N	n.	английский язык
84	sv	'Ìnglìsì	ˈʔɪŋ.lɪ.sɪ	\N	n.	Engelska språket
88	de	'it	ʔit̚	\N	n.	Bißchen, Stückchen, kleine Menge
88	eng	'it	ʔit̚	\N	n.	bit, a small amount
88	est	'it	ʔit̚	\N	n.	väike kogus
88	hu	'it	ʔit̚	\N	n.	kevés (kis mennyiség)
88	nl	'it	ʔit̚	\N	n.	beetje, kleine hoeveelheid
88	pl	'it	ʔit̚	\N	n.	kawałek, cząstka
88	ru	'it	ʔit̚	\N	n.	кусочек, частица, небольшое количество
88	sv	'it	ʔit̚	\N	n.	bit, en liten mängd
92	de	'itan	ˈʔi.tan	\N	n.	Sohn
92	eng	'itan	ˈʔi.tan	\N	n.	son
92	est	'itan	ˈʔi.tan	\N	n.	poeg
92	hu	'itan	ˈʔi.tan	\N	n.	fiúgyermek
92	nl	'itan	ˈʔi.tan	\N	n.	zoon
92	pl	'itan	ˈʔi.tan	\N	n.	syn
92	ru	'itan	ˈʔi.tan	\N	n.	сын
92	sv	'itan	ˈʔi.tan	\N	n.	son
96	de	'ite	ˈʔi.tɛ	\N	n.	Tochter
96	eng	'ite	ˈʔi.tɛ	\N	n.	daughter
96	est	'ite	ˈʔi.tɛ	\N	n.	tütar
96	hu	'ite	ˈʔi.tɛ	\N	n.	lánygyermek
96	nl	'ite	ˈʔi.tɛ	\N	n.	dochter
96	pl	'ite	ˈʔi.tɛ	\N	n.	córka
96	ru	'ite	ˈʔi.tɛ	\N	n.	дочь
96	sv	'ite	ˈʔi.tɛ	\N	n.	dotter
100	de	'ok	ʔok̚	\N	n.	Andenken, Gedenken, Erinnerung
100	eng	'ok	ʔok̚	\N	n.	remembrance
100	est	'ok	ʔok̚	\N	n.	mälestamine
100	hu	'ok	ʔok̚	\N	n.	emlék, emlékezés
100	nl	'ok	ʔok̚	\N	n.	herinnering
100	pl	'ok	ʔok̚	\N	n.	wspomnienie
100	ru	'ok	ʔok̚	\N	n.	память, воспоминания
100	sv	'ok	ʔok̚	\N	n.	åtanke, minne
104	de	'ong	ʔ·oŋ	'<1><2><3>ong	v.	erblühen, sich entfalten
104	eng	'ong	ʔ·oŋ	'<1><2><3>ong	v.	unfold, blossom
104	est	'ong	ʔ·oŋ	'<1><2><3>ong	v.	õitsema
104	hu	'ong	ʔ·oŋ	'<1><2><3>ong	v.	kinyílik, kivirágzik
104	nl	'ong	ʔ·oŋ	'<1><2><3>ong	v.	bloeien
104	pl	'ong	ʔ·oŋ	'<1><2><3>ong	v.	rozwijać, kwitnąć
104	ru	'ong	ʔ·oŋ	'<1><2><3>ong	v.	раскрываться, распускаться, цвести, процветать
104	sv	'ong	ʔ·oŋ	'<1><2><3>ong	v.	slå ut, blomstra
108	de	'u	ʔu	\N	n.	Ding (Sache, Tatsache, Abstraktion)
108	eng	'u	ʔu	\N	n.	thing (object, fact, abstraction)
108	est	'u	ʔu	\N	n.	asi (ese, fakt, mõte)
108	hu	'u	ʔu	\N	n.	dolog (valami)
108	nl	'u	ʔu	\N	n.	ding (object, feit)
108	pl	'u	ʔu	\N	n.	rzecz (przedmiot, fakt, pojęcie)
108	ru	'u	ʔu	\N	n.	вещь
108	sv	'u	ʔu	\N	n.	sak, objekt
112	de	'upe	ˈʔu.pɛ	\N	inter.	Was, Welches (Ding)
112	eng	'upe	ˈʔu.pɛ	\N	inter.	what (thing)
112	est	'upe	ˈʔu.pɛ	\N	inter.	mis (asi)
112	hu	'upe	ˈʔu.pɛ	\N	inter.	mi? mit? micsoda? micsodát?
112	nl	'upe	ˈʔu.pɛ	\N	inter.	welk (ding)
112	pl	'upe	ˈʔu.pɛ	\N	inter.	co (o rzecz)
112	ru	'upe	ˈʔu.pɛ	\N	inter.	что за, какой, который
112	sv	'upe	ˈʔu.pɛ	\N	inter.	vad (för sak)
116	de	'upxare	ʔu.ˈp'a.ɾɛ	\N	n.	Nachricht, Mitteilung
116	eng	'upxare	ʔu.ˈp'a.ɾɛ	\N	n.	message
116	est	'upxare	ʔu.ˈp'a.ɾɛ	\N	n.	sõnum, teade
116	hu	'upxare	ʔu.ˈp'a.ɾɛ	\N	n.	üzenet
116	nl	'upxare	ʔu.ˈp'a.ɾɛ	\N	n.	boodschap, bericht
116	pl	'upxare	ʔu.ˈp'a.ɾɛ	\N	n.	wiadomość
116	ru	'upxare	ʔu.ˈp'a.ɾɛ	\N	n.	сообщение, послание, обращение
116	sv	'upxare	ʔu.ˈp'a.ɾɛ	\N	n.	meddelande
120	de	a	a	\N	part.	das/der/die, welche/r/s (Relativpronomen)
120	eng	a	a	\N	part.	clause  level attributive marker
120	est	a	a	\N	part.	see, kes/mis; osalause m
120	hu	a	a	\N	part.	aki, amely(ik) (határozói mellékmondat kötőszava)
120	nl	a	a	\N	part.	bepaling attributieve markeerder
120	pl	a	a	\N	part.	który, ten
120	ru	a	a	\N	part.	который (в аттрибутивной конструкции связывает определяемое с определяемым)
120	sv	a	a	\N	part.	som, vilken
128	de	alaksi	a.ˈlak.si	\N	adj.	fertig, bereit
128	eng	alaksi	a.ˈlak.si	\N	adj.	ready
128	est	alaksi	a.ˈlak.si	\N	adj.	valmis
128	hu	alaksi	a.ˈlak.si	\N	adj.	kész, felkészült
128	nl	alaksi	a.ˈlak.si	\N	adj.	klaar
128	pl	alaksi	a.ˈlak.si	\N	adj.	gotowy
128	ru	alaksi	a.ˈlak.si	\N	adj.	готовый
128	sv	alaksi	a.ˈlak.si	\N	adj.	redo
140	de	lìm	l·ɪm	l<1><2><3>ìm	svin.	weit weg sein, entfernt sein
140	eng	lìm	l·ɪm	l<1><2><3>ìm	svin.	be far
140	est	lìm	l·ɪm	l<1><2><3>ìm	svin.	kaugel olema
140	hu	lìm	l·ɪm	l<1><2><3>ìm	svin.	messze van
140	nl	lìm	l·ɪm	l<1><2><3>ìm	svin.	ver weg zijn
140	pl	lìm	l·ɪm	l<1><2><3>ìm	svin.	być daleko
140	ru	lìm	l·ɪm	l<1><2><3>ìm	svin.	отдаляться, быть далеко
140	sv	lìm	l·ɪm	l<1><2><3>ìm	svin.	långt, vara långt
152	de	apxa	a.ˈp'a	\N	adj.	groß, erheblich, umfangreich
152	eng	apxa	a.ˈp'a	\N	adj.	large
152	est	apxa	a.ˈp'a	\N	adj.	suur
152	hu	apxa	a.ˈp'a	\N	adj.	nagy
152	nl	apxa	a.ˈp'a	\N	adj.	groot
152	pl	apxa	a.ˈp'a	\N	adj.	duży
152	ru	apxa	a.ˈp'a	\N	adj.	большой, крупный
152	sv	apxa	a.ˈp'a	\N	adj.	stor
160	de	atan	a.ˈtan	\N	n.	Licht
160	eng	atan	a.ˈtan	\N	n.	light
160	est	atan	a.ˈtan	\N	n.	valgus
160	hu	atan	a.ˈtan	\N	n.	fény
160	nl	atan	a.ˈtan	\N	n.	licht
160	pl	atan	a.ˈtan	\N	n.	światło
160	ru	atan	a.ˈtan	\N	n.	свет
160	sv	atan	a.ˈtan	\N	n.	ljus
172	de	atokirina'	a.to.ki.ˈɾi.naʔ	\N	n.	Samen des Großen Baumes
172	eng	atokirina'	a.to.ki.ˈɾi.naʔ	\N	n.	seeds of the great tree
172	est	atokirina'	a.to.ki.ˈɾi.naʔ	\N	n.	Püha Puu seemned
172	hu	atokirina'	a.to.ki.ˈɾi.naʔ	\N	n.	A Szent Fa magja
172	nl	atokirina'	a.to.ki.ˈɾi.naʔ	\N	n.	zaad van de Grote Boom
172	pl	atokirina'	a.to.ki.ˈɾi.naʔ	\N	n.	nasiona Drzewa Dusz
172	ru	atokirina'	a.to.ki.ˈɾi.naʔ	\N	n.	семя священного дерева
172	sv	atokirina'	a.to.ki.ˈɾi.naʔ	\N	n.	frön av det heliga trädet
176	de	atxkxe	at'.ˈk'ɛ	\N	n.	Land, Boden
176	eng	atxkxe	at'.ˈk'ɛ	\N	n.	land
176	est	atxkxe	at'.ˈk'ɛ	\N	n.	maa
176	hu	atxkxe	at'.ˈk'ɛ	\N	n.	föld, terület
176	nl	atxkxe	at'.ˈk'ɛ	\N	n.	land
176	pl	atxkxe	at'.ˈk'ɛ	\N	n.	ziemia, grunt, stały ląd
176	ru	atxkxe	at'.ˈk'ɛ	\N	n.	земля, местность
176	sv	atxkxe	at'.ˈk'ɛ	\N	n.	land
180	de	au	ˈa.u	\N	n.	Trommel (aus Haut/Fell)
180	eng	au	ˈa.u	\N	n.	drum (made of skin)
180	est	au	ˈa.u	\N	n.	trumm (valmistatud nahast)
180	hu	au	ˈa.u	\N	n.	dob (bőrből készült)
180	nl	au	ˈa.u	\N	n.	trommel (gemaakt van huiden)
180	pl	au	ˈa.u	\N	n.	bęben (zrobiony ze skóry)
180	ru	au	ˈa.u	\N	n.	барабан из кожи
180	sv	au	ˈa.u	\N	n.	trumma (gjord av skinn)
184	de	aungia	a.ˈu.ŋi.a	\N	n.	Omen, Zeichen, Vorzeichen
184	eng	aungia	a.ˈu.ŋi.a	\N	n.	sign, omen
184	est	aungia	a.ˈu.ŋi.a	\N	n.	märk, enne
184	hu	aungia	a.ˈu.ŋi.a	\N	n.	(elő)jel, ómen
184	nl	aungia	a.ˈu.ŋi.a	\N	n.	voorteken, omen
184	pl	aungia	a.ˈu.ŋi.a	\N	n.	znak, wróżba
184	ru	aungia	a.ˈu.ŋi.a	\N	n.	знак, знамение
184	sv	aungia	a.ˈu.ŋi.a	\N	n.	tecken, omen
188	de	awaiei	a.wa.i.ˈɛ.i	\N	n.	Paradiesbanshee
188	eng	awaiei	a.wa.i.ˈɛ.i	\N	n.	banshee of paradise
188	est	awaiei	a.wa.i.ˈɛ.i	\N	n.	Paradiisi mardus (banshee of paradise)
188	hu	awaiei	a.wa.i.ˈɛ.i	\N	n.	édeni sikoltófű, földi ikran (pandorai növényfaj)
188	nl	awaiei	a.wa.i.ˈɛ.i	\N	n.	harpij van het paradijs
188	pl	awaiei	a.wa.i.ˈɛ.i	\N	n.	Rajska wiedźma
188	ru	awaiei	a.wa.i.ˈɛ.i	\N	n.	райский банши
188	sv	awaiei	a.wa.i.ˈɛ.i	\N	n.	vålnad av paradiset
192	de	awnga	aw.ˈŋa	\N	pn.	wir
192	eng	awnga	aw.ˈŋa	\N	pn.	we
192	est	awnga	aw.ˈŋa	\N	pn.	meie
192	hu	awnga	aw.ˈŋa	\N	pn.	mi
192	nl	awnga	aw.ˈŋa	\N	pn.	wij
192	pl	awnga	aw.ˈŋa	\N	pn.	my
192	ru	awnga	aw.ˈŋa	\N	pn.	мы
192	sv	awnga	aw.ˈŋa	\N	pn.	vi
204	de	ayfo	aj.ˈfo] or [ˈaj.fo	\N	pn.	sie (Plural)
204	eng	ayfo	aj.ˈfo] or [ˈaj.fo	\N	pn.	they
204	est	ayfo	aj.ˈfo] or [ˈaj.fo	\N	pn.	nemad
204	hu	ayfo	aj.ˈfo] or [ˈaj.fo	\N	pn.	ők sokan
204	nl	ayfo	aj.ˈfo] or [ˈaj.fo	\N	pn.	zij
204	pl	ayfo	aj.ˈfo] or [ˈaj.fo	\N	pn.	oni, one
204	ru	ayfo	aj.ˈfo] or [ˈaj.fo	\N	pn.	они
204	sv	ayfo	aj.ˈfo] or [ˈaj.fo	\N	pn.	de
208	de	aynga	aj.ˈŋa	\N	pn.	ihr (alle)
208	eng	aynga	aj.ˈŋa	\N	pn.	you all, you (pl.)
208	est	aynga	aj.ˈŋa	\N	pn.	teie
208	hu	aynga	aj.ˈŋa	\N	pn.	ti sokan
208	nl	aynga	aj.ˈŋa	\N	pn.	jullie allen, jullie
208	pl	aynga	aj.ˈŋa	\N	pn.	wy wszyscy, wy (l.mn.)
208	ru	aynga	aj.ˈŋa	\N	pn.	вы (инклюзив)
208	sv	aynga	aj.ˈŋa	\N	pn.	ni alla, ni
212	de	ayoe	aj.ˈo.ɛ	\N	pn.	wir (exklusiv)
212	eng	ayoe	aj.ˈo.ɛ	\N	pn.	we, us (exclusive)
212	est	ayoe	aj.ˈo.ɛ	\N	pn.	meie (välistav)
212	hu	ayoe	aj.ˈo.ɛ	\N	pn.	mi (kizáró)
212	nl	ayoe	aj.ˈo.ɛ	\N	pn.	wij (exclusief)
212	pl	ayoe	aj.ˈo.ɛ	\N	pn.	my, nas (wyłączające)
212	ru	ayoe	aj.ˈo.ɛ	\N	pn.	мы (эксклюзив)
212	sv	ayoe	aj.ˈo.ɛ	\N	pn.	vi, oss (inte du)
216	de	ayoeng	aj.ˈwɛŋ	\N	pn.	wir (inklusiv)
216	eng	ayoeng	aj.ˈwɛŋ	\N	pn.	we, us (inclusive)
216	est	ayoeng	aj.ˈwɛŋ	\N	pn.	meie (kaasav) (ayoeng nimetavas, (meie ja sina))
216	hu	ayoeng	aj.ˈwɛŋ	\N	pn.	mi (beleértő)
216	nl	ayoeng	aj.ˈwɛŋ	\N	pn.	wij, ons (inclusief)
216	pl	ayoeng	aj.ˈwɛŋ	\N	pn.	my, nas (włączające)
216	ru	ayoeng	aj.ˈwɛŋ	\N	pn.	мы (инклюзив)
216	sv	ayoeng	aj.ˈwɛŋ	\N	pn.	vi, oss (du med)
224	de	äie	æ.ˈi.ɛ	\N	n.	Vision, Sehen (spirituell)
224	eng	äie	æ.ˈi.ɛ	\N	n.	vision (spiritual)
224	est	äie	æ.ˈi.ɛ	\N	n.	nägemus (vaimne)
224	hu	äie	æ.ˈi.ɛ	\N	n.	vízió, látomás
224	nl	äie	æ.ˈi.ɛ	\N	n.	visie (spiritueel)
224	pl	äie	æ.ˈi.ɛ	\N	n.	wizja (duchowa)
224	ru	äie	æ.ˈi.ɛ	\N	n.	способность Видеть (духовный смысл)
224	sv	äie	æ.ˈi.ɛ	\N	n.	syn, vision (andlig, spirituell)
240	de	äo	ˈæ.o	\N	adp.	unter, darunter
240	eng	äo	ˈæ.o	\N	adp.	under, below
240	est	äo	ˈæ.o	\N	adp.	all, allpool
240	hu	äo	ˈæ.o	\N	adp.	alatt(a), alul
240	nl	äo	ˈæ.o	\N	adp.	onderX
240	pl	äo	ˈæ.o	\N	adp.	poniżej
240	ru	äo	ˈæ.o	\N	adp.	под 
240	sv	äo	ˈæ.o	\N	adp.	under
244	de	ätxäle	æ.ˈt'æ.lɛ	\N	n.	Bitte, Anfrage
244	eng	ätxäle	æ.ˈt'æ.lɛ	\N	n.	request
244	est	ätxäle	æ.ˈt'æ.lɛ	\N	n.	palve, nõue
244	hu	ätxäle	æ.ˈt'æ.lɛ	\N	n.	kérés
244	nl	ätxäle	æ.ˈt'æ.lɛ	\N	n.	verzoek
244	pl	ätxäle	æ.ˈt'æ.lɛ	\N	n.	prośba, żądanie
244	ru	ätxäle	æ.ˈt'æ.lɛ	\N	n.	просьба, мягкое требование
244	sv	ätxäle	æ.ˈt'æ.lɛ	\N	n.	begäran, förfrågan
248	de	ätxäle si	æ.ˈt'æ.lɛ ˈs·i	ätxäle s<1><2><3>i	vin.	anfragen, verlangen, höflich ersuchen (mit tsnì Satz für das Objekt)
248	eng	ätxäle si	æ.ˈt'æ.lɛ ˈs·i	ätxäle s<1><2><3>i	vin.	request (with tsnì clause for object)
248	est	ätxäle si	æ.ˈt'æ.lɛ ˈs·i	ätxäle s<1><2><3>i	vin.	nõudma, paluma (koos tsnì osalausega sihitise jaoks)
248	hu	ätxäle si	æ.ˈt'æ.lɛ ˈs·i	ätxäle s<1><2><3>i	vin.	kérés (tsnì majd a tárgyi mellékmondat)
248	nl	ätxäle si	æ.ˈt'æ.lɛ ˈs·i	ätxäle s<1><2><3>i	vin.	verzoeken
248	pl	ätxäle si	æ.ˈt'æ.lɛ ˈs·i	ätxäle s<1><2><3>i	vin.	prosić (zdanie podrzędne przyłączone spójnikiemtsnì)
248	ru	ätxäle si	æ.ˈt'æ.lɛ ˈs·i	ätxäle s<1><2><3>i	vin.	просить, мягко требовать
248	sv	ätxäle si	æ.ˈt'æ.lɛ ˈs·i	ätxäle s<1><2><3>i	vin.	begära (med tsnì som klausul för objektet)
